Title_Id,Title,Genre,Duration_Min,Country,Content_Rating,Director,Income_Usd,Votes,Score,Release_Year
tt0111161,The Shawshank Redemption,Drama,,USA,R,Frank Darabont,28815245,22788450,9.3,1995
tt0068646,The Godfather,"Crime, Drama",,USA,R,Francis Ford Coppola,246120974,15726740,9.2,1972
tt0468569,The Dark Knight,"Action, Crime, Drama",,USA,PG-13,Christopher Nolan,1005455211,22416150,9.0,2008
tt0071562,The Godfather: Part II,"Crime, Drama",,USA,R,Francis Ford Coppola,408035783,10987140,9.0,1975
tt0110912,Pulp Fiction,"Crime, Drama",,USA,R,Quentin Tarantino,222831817,17801470,8.2,1994
tt0167260,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",,New Zealand,PG-13,Peter Jackson,1142271098,16042800,8.9,2004
tt0108052,Schindler's List,"Biography, Drama, History",,USA,R,Steven Spielberg,322287794,11832480,8.9,1994
tt0050083,12 Angry Men,"Crime, Drama",,USA,Not Rated,Sidney Lumet,576,6684730,8.9,1957
tt1375666,Inception,"Action, Adventure, Sci-Fi",,USA,PG-13,Christopher Nolan,869784991,20028160,8.8,2010
tt0137523,Fight Club,Drama,,UK,R,David Fincher,101218804,18074400,8.8,1999
tt0109830,Forrest Gump,"Drama, Romance",,USA,PG-13,Robert Zemeckis,678229452,17554900,8.2,1994
tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",,New Zealand,PG-13,Peter Jackson,887934303,16199200,8.8,2002
tt0060196,"Il buono, il brutto, il cattivo",Western,,Italy,Approved,Sergio Leone,25252481,6724990,8.8,1966
tt0133093,The Matrix,"Action, Sci-Fi",,USA,R,"Lana Wachowski, Lilly Wachowski",465718588,16323150,8.7,1999
tt0167261,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",,New Zealand,PG-13,Peter Jackson,951227416,14497780,8.7,2003
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",,USA,PG,Irvin Kershner,549265501,11320730,8.2,1980
tt0099685,Goodfellas,"Biography, Crime, Drama",,USA,R,Martin Scorsese,46879633,9915050,8.7,1990
tt0073486,One Flew Over the Cuckoo's Nest,Drama,,USA,R,Milos Forman,108997629,8910710,8.7,1976
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",,USA,PG-13,Christopher Nolan,696742056,14492560,8.6,2014
tt0114369,Se7en,"Crime, Drama, Mystery",,USA,R,David Fincher,327333559,14020150,8.6,1995
tt0102926,The Silence of the Lambs,"Crime, Drama, Thriller",,USA,R,Jonathan Demme,272753884,12341340,8.2,1991
tt0076759,Star Wars,"Action, Adventure, Fantasy",,USA,PG,George Lucas,775768912,12041070,8.6,1977
tt0120815,Saving Private Ryan,"Drama, War",,USA,R,Steven Spielberg,482349603,12038250,8.6,1998
tt0120689,The Green Mile,"Crime, Drama, Fantasy",,USA,R,Frank Darabont,286801374,11123360,8.6,2000
tt0317248,Cidade de Deus,"Crime, Drama",,Brazil,R,"Fernando Meirelles, KÃ¡tia Lund",30680793,6858560,8.6,2003
tt0245429,Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",,Japan,PG,Hayao Miyazaki,355467056,6266930,8.6,2003
tt0118799,La vita B9 bella,"Comedy, Drama, Romance",,Italy,Unknown,Roberto Benigni,230098753,6056480,8.6,1997
tt6751668,Gisaengchung,"Comedy, Drama, Thriller",,South Korea,Unknown,Bong Joon Ho,257604912,4709310,8.6,2019
tt0038650,It's a Wonderful Life,"Drama, Family, Fantasy",,USA,PG,Frank Capra,6130720,3883100,8.6,1948
tt0047478,Shichinin no samurai,"Action, Adventure, Drama",,Japan,Unrated,Akira Kurosawa,322773,3079580,8.6,1955
tt0172495,Gladiator,"Action, Adventure, Drama",,USA,R,Ridley Scott,465361176,13081930,8.5,2000
tt0407887,The Departed,"Crime, Drama, Thriller",,USA,R,Martin Scorsese,291465034,11597030,8.5,2006
tt0482571,The Prestige,"Drama, Mystery, Sci-Fi",,UK,PG-13,Christopher Nolan,109676311,11557230,8.5,2006
tt0088763,Back to the Future,"Adventure, Comedy, Sci-Fi",,USA,PG,Robert Zemeckis,388774684,10273300,8.5,1985
tt0120586,American History X,Drama,,USA,R,Tony Kaye,23875127,10142180,8.5,1999
tt0110413,LÃ©on,"Action, Crime, Drama",,France,Unknown,Luc Besson,19552639,10075980,8.5,1995
tt0103064,Terminator 2: Judgment Day,"Action, Sci-Fi",,USA,R,James Cameron,520884847,9749700,8.4,1991
tt0114814,The Usual Suspects,"Crime, Mystery, Thriller",,USA,R,Bryan Singer,23341568,9689470,8.4,1995
tt0110357,The Lion King,"Animation, Adventure, Drama",,USA,G,"Roger Allers, Rob Minkoff",968511805,9172480,8.4,1994
tt7286456,Joker,"Crime, Drama, Thriller",,USA,Unknown,Todd Phillips,1074251311,8550970,8.4,2019
tt1675434,Intouchables,"Biography, Comedy, Drama",,France,Unknown,"Olivier Nakache, Ãric Toledano",426588510,7366910,8.4,2012
tt0253474,The Pianist,"Biography, Drama, Music",,UK,R,Roman Polanski,120072577,7079420,8.4,2002
